Sampling_event,River,Location_Code,Replicate,Treatment,Control_first,Min_from_sunrise,Log_Flow_ms,Depth_cm,Width_m,LOG_Turb_mean_NTU,LOG_DO_mgL,LOG_Temp_mean_C,LOG_Light_mean_lux,LOG_Canopy_cover,totPredPA,TopPPA,Predvisits,TopPvisits,PredFirstV,Predtottime,TopPredTotTime,PredAttack,TopAttack,PredFirstA,LatencyPredFirstA,Trial_length_min,Trial_length_sec,Guppy_Number,Male_Female_ratio,Guppy_length_mm,Time,PC1,PC2,PC3,Sediment_type,Sediment_numeric,Quarry,UpDownStream,UpDownStreamCode,AP,SF,HM,HT,AH,AB,RQ,RD
se001,turure,7TuA1,1,control,y,252,0,91,2.7,0.540329475,1.11058971,1.401400541,2.99237676,1.758154622,1,1,0,0,6,0,0,0,0,900,0,15,900,0,NA,NA,am,-1.568537439,0.46126431,0.979121225,sand,2,y,A,up,0,0,0,1,0,0,0,0
se002,turure,7TuA2,1,control,y,291,0,65,7,0.862131379,1.155336037,1.404149249,3.082472997,1.727134424,1,1,5,4,16,17,11,0,0,840,0,13,780,0,NA,NA,am,-0.761194334,-0.233385538,-1.419167665,leaf_litter,5,y,A,up,0,0,0,1,1,0,0,0
se003,turure,7TuA3,1,control,y,323,0,87,3,0.541579244,1.100370545,1.408409578,3.427701904,1.46834733,1,1,2,2,19,20,20,0,0,900,0,14,840,0,NA,NA,am,-0.751695363,0.663279846,1.063997023,silt,1,y,A,up,0,0,0,1,0,0,0,0
se004,turure,7TuA1,1,prey,y,366,0,91,2.7,0.540329475,1.11058971,1.415807728,3.661503176,1.758154622,1,1,36,36,195,108,108,0,0,900,0,15,900,6,0.17,28.8,am,-0.736219398,0.925302816,1.13425574,sand,2,y,A,up,0,0,0,1,0,0,0,0
se005,turure,7TuA2,1,prey,y,389,0,65,7,0.862131379,1.155336037,1.414304688,3.038194798,1.727134424,1,1,38,32,102,170,69,10,0,191,709,15,900,6,0.17,28.8,am,-0.612297418,0.034615941,-1.57750002,leaf_litter,5,y,A,up,0,0,0,1,0,0,0,0
se006,turure,7TuA3,1,prey,y,434,0,87,3,0.541579244,1.100370545,1.41480628,3.486940281,1.46834733,1,1,12,9,170,120,8,5,0,577,323,15,900,6,0.17,28.8,am,-0.583976357,0.842067773,1.009471714,silt,1,y,A,up,0,0,0,1,1,0,0,0
se007,guanapo,5GuB2,1,prey,n,316,0.017033339,81,10,0.571708832,1.220108088,1.422425676,3.603866153,1.76952502,1,1,12,12,28,30,30,0,0,900,0,15,900,10,0.1,21.4,am,0.818835517,0.181939455,-0.187987817,pebbles,3,y,B,mid,1,0,0,1,0,0,0,0
se008,guanapo,5GuB3,1,prey,n,360,0.017033339,49,7,0.579783597,1.204119983,1.425860145,4.341619085,0.687528961,1,1,12,12,272,40,45,0,0,900,0,15,900,10,0.1,21.4,am,2.003631124,-0.420009253,-0.233583703,rock,4,y,B,mid,1,0,0,1,0,0,0,0
se009,guanapo,5GuB1,1,prey,n,478,0.089905111,68,10.5,0.376576957,1.204119983,1.425860145,2.359968216,1.754424789,1,1,7,7,223,77,77,0,0,900,0,15,900,10,0,25.4,am,-0.314282098,-0.695093274,-0.403626979,pebbles,3,y,B,mid,1,0,0,1,0,0,0,0
se010,guanapo,5GuB2,1,control,n,388,0.017033339,81,10,0.571708832,1.220108088,1.420615771,3.605943625,1.76952502,1,1,3,3,18,2,2,0,0,900,0,15,900,0,NA,NA,am,0.787365824,0.133510273,-0.162786171,pebbles,3,y,B,mid,0,0,0,1,0,0,0,0
