Sampling_event,River,Site,Location_Code,Lat,Lon,Presentation,Replicate,Quarry,Date,Time,Treatment,Guppy_Number,Male_Female_ratio,Guppy_length_mm,Control_first,Flow_max_rps,Max_Flow_ms,Depth_cm,Width_m,Min_from_sunrise,Turb_mean_NTU,DO_mgL,Temp_mean_C,Light_mean_lux,Canopy_cover,Trial_length_min,APtottime,APproptime,APAttack,APvisits,CFtottime,CFproptime,CFAttack,CFvisits,HMtottime,HMproptime,HMAttack,HMvisits,HTtottime,HTproptime,HTAttack,HTvisits,AHtottime,AHproptime,AHAttack,AHvisits,ABtottime,ABproptime,ABAttack,ABvisits,RQtottime,RDtottime,RDproptime,RDAttack,RDvisits,MCtottime,MCproptime,MCAttack,MCvisits,MCFirstV,MCFirstA,RDFirstV,RDFirstA,RQFirstV,RQFirstA,ABFirstV,ABFirstA,AHFirstV,AHFirstA,HTFirstV,HTFirstA,HMFirstV,HMFirstA,CFFirstV,CFFirstA,APFirstV,APFirstA,Predtottime,Predproptime,PredAttack,PredFirstV,PredFirstA,Predvisits,Trial_length,AP,CF,HM,HT,AH,AB,RQ,RD,MC
se001,turure,1,7TuA1,10.6800449,-61.166981,1,1,y,12/04/2022,10:08,control,0,NA,NA,y,0,0,91,2.7,252,2.47,11.9,24.2,981.6,56.3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,900,900,900,900,6,900,900,900,900,900,900,900,0,0,0,6,900,0,15,0,0,0,1,0,0,0,0,0
se002,turure,1,7TuA2,10.6802927,-61.1670844,2,1,y,12/04/2022,10:47,control,0,NA,NA,y,0,0,65,7,291,6.28,13.3,24.36,1208.13,52.35,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,840,840,840,840,840,840,11,840,28,840,11,840,840,840,840,840,840,840,17,0,0,16,840,5,14,0,0,0,1,1,0,0,0,0
se003,turure,1,7TuA3,10.6806674,-61.1672407,3,1,y,12/04/2022,11:19,control,0,NA,NA,y,0,0,87,3,323,2.48,11.6,24.61,2676.33,28.4,14,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,19,900,900,900,19,900,900,900,900,900,900,900,20,0,0,19,900,2,15,0,0,0,1,0,0,0,0,0
se004,turure,1,7TuA1,10.6800449,-61.166981,4,1,y,12/04/2022,12:02,prey,6,0.17,28.8,y,0,0,91,2.7,366,2.47,11.9,25.05,4585.73,56.3,15,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,382,900,900,900,8,900,900,900,900,900,900,900,108,0,0,195,900,36,15,0,0,0,1,0,0,0,0,0
se005,turure,1,7TuA2,10.6802927,-61.1670844,5,1,y,12/04/2022,12:25,prey,6,0.17,28.8,y,0,0,65,7,389,6.28,13.3,24.96,1090.93,52.35,15,0,0,0,0,0,0,0,0,0,0,0,0,69,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,1,6,180,310,900,900,900,900,64,900,900,900,64,71,900,900,900,900,900,900,170,0,10,102,191,38,15,0,0,0,1,0,0,0,0,1
se006,turure,1,7TuA3,10.6806674,-61.1672407,6,1,y,12/04/2022,13:10,prey,6,0.17,28.8,y,0,0,87,3,434,2.48,11.6,24.99,3067.6,28.4,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,112,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,24,900,462,577,24,900,900,900,900,900,900,900,120,0,5,170,577,12,15,0,0,0,1,1,0,0,0,0
se007,guanapo,2,5GuB2,10.6935391,-61.2621615,1,1,y,13/04/2022,11:12,prey,10,0.1,21.4,n,0.17,0.04,81,10,316,2.73,15.6,25.45,4015.67,57.82,15,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,39,900,900,900,4,900,900,900,900,900,39,900,30,0,0,28,900,12,15,1,0,0,1,0,0,0,0,0
se008,guanapo,2,5GuB3,10.6940758,-61.2633045,2,1,y,13/04/2022,11:56,prey,10,0.1,21.4,n,0.17,0.04,49,7,360,2.8,15,25.66,21958.33,3.87,15,19,0,0,4,0,0,0,0,0,0,0,0,26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,369,900,900,900,16,900,900,900,900,900,430,900,40,0,0,272,900,12,15,1,0,0,1,0,0,0,0,0
se009,guanapo,2,5GuB1,10.6932231,-61.2610646,5,1,y,13/04/2022,13:54,prey,10,0,25.4,n,0.93,0.23,68,10.5,478,1.38,15,25.66,228.07,55.81,15,75,0,0,5,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,141,900,900,900,12,900,900,900,900,900,516,900,77,0,0,223,900,7,15,1,0,0,1,0,0,0,0,0
se010,guanapo,2,5GuB2,10.6935391,-61.2621615,3,1,y,13/04/2022,12:24,control,0,NA,NA,n,0.17,0.04,81,10,388,2.73,15.6,25.34,4034.93,57.82,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,28,900,900,900,8,900,900,900,900,900,900,900,2,0,0,18,900,3,15,0,0,0,1,0,0,0,0,0
