Log_Flow_ms,Depth_cm,Width_m,LOG_Turb_mean_NTU,LOG_DO_mgL,LOG_Temp_mean_C,LOG_Light_mean_lux,LOG_Canopy_cover
0,91,2.7,0.540329475,1.11058971,1.415807728,3.661503176,1.758154622
0,65,7,0.862131379,1.155336037,1.414304688,3.038194798,1.727134424
0,87,3,0.541579244,1.100370545,1.41480628,3.486940281,1.46834733
0.017033339,81,10,0.571708832,1.220108088,1.422425676,3.603866153,1.76952502
0.017033339,49,7,0.579783597,1.204119983,1.425860145,4.341619085,0.687528961
0.089905111,68,10.5,0.376576957,1.204119983,1.425860145,2.359968216,1.754424789
0,44,5,0.305351369,1.190331698,1.41313205,3.750714308,1.610234175
0,81,4,0.357934847,1.190331698,1.420285885,4.507945823,1.877486528
0,73,6,0.488550717,1.187520721,1.420450859,4.364999691,1.914607568
0,55,2,0.240549248,1.089905111,1.442322956,2.752609209,1.874829578
0,69,4,0.336459734,1.08278537,1.43949059,3.154463536,1.82724
0,62,6,0.252853031,1.025305865,1.445915414,4.485898373,0.709269961
0,53,7,0.523746467,1.212187604,1.411451342,4.47194076,1.581494542
0.012837225,64,4,0.344392274,1.167317335,1.405517107,3.60549144,1.746634199
0,60,2,0.26245109,1.045322979,1.431202885,4.139748779,0.859138297
0,59,4,0.267171728,1.164352856,1.432969291,3.18593859,1.852418993
0,62,9.5,0.434568904,1.170261715,1.438384107,3.918948831,1.856245401
0.033423755,40,8,0.421603927,1.184691431,1.40688067,3.368249685,1.768860001
0,62,12,0.414973348,1.198657087,1.417803723,4.212169753,1.804139432
0.029383778,58,8,0.336459734,1.193124598,1.409595019,3.671425567,1.727785174
0.133538908,52,12.5,0.382017043,1.214843848,1.418798291,2.802411092,1.763353109
0.012837225,74,11,0.380211242,1.158362492,1.416307587,3.023170121,1.773640193
0.025305865,60,9,0.328379603,1.184691431,1.417305583,3.410135859,1.770483809
0.049218023,73,10,0.342422681,1.127104798,1.417471693,3.782458291,1.756103372
0.164352856,65,7,0.367355921,1.195899652,1.419790586,4.022837727,1.447778009
0.127104798,53,8,0.29666519,1.184691431,1.428296814,4.163302438,1.768638101
0.164352856,55,5,0.62838893,1.136720567,1.420615771,3.339954018,1.836197481
0,60,7,0.643452676,1.158362492,1.422917981,3.742421097,2.003632837
0.173186268,52,2,0.672097858,1.170261715,1.422753941,3.532677957,1.836197481
0.012837225,79,5,0.426511261,1.164352856,1.406369835,3.59754162,1.987398099
0,59,5,0.462397998,1.164352856,1.409595019,4.032833438,1.672282625
0.004321374,66,3,0.340444115,1.161368002,1.40534636,3.853738963,1.741781696
0,40,5,0.788875116,1.056904851,1.405175546,2.642197332,1.761702368
0,55,4,0.788875116,1.056904851,1.40363519,2.634809665,1.764400323
0,32,2,0.29666519,1.056904851,1.40363519,3.110050716,1.811239773
0,45,8,0.173186268,1.1430148,1.425371166,3.953959161,1.704322141
0,50,5,0.139879086,1.187520721,1.443419462,4.623068297,1.790636962
0.158362492,45,4,0.357934847,1.170261715,1.404662701,2.886868453,1.782544284
0.184691431,55,8,0.290034611,1.198657087,1.400883216,3.197867493,1.868291688
0.008600172,59,5,0.382017043,1.161368002,1.403806611,3.755534144,1.68547302
0,60,5,0.683947131,1.161368002,1.435844366,3.449991844,1.754118894
0,53,8.5,0.563481085,1.167317335,1.4363217,4.006000691,1.747722462
0,53,12,0.608526034,1.176091259,1.442636526,4.408086069,0
0,45,12,0.73239376,1.123851641,1.399327532,3.531487858,1.202760687
0,56,10,0.781036939,1.1430148,1.397418542,4.083755884,1.390405156
0,50,12,0.835056102,1.152288344,1.402261382,4.24238413,0.390935107
0.173186268,59,2,0.521138084,1.152288344,1.40534636,3.40825184,1.718916686
0,52,10,0.56937391,1.146128036,1.428296814,4.634712995,1.222716471
0,58,10,0.592176757,1.133538908,1.416141031,4.203989675,1.389343311
0.08278537,60,3,1.156851901,1.201397124,1.460747542,3.278936423,1.514282048
0,53,2,1.10720997,1.198657087,1.453624074,2.8989061,1.653694795
0,69,3,0.416640507,1.155336037,1.413467413,4.123810169,1.717087725
0.252853031,71,4,0.42975228,1.149219113,1.412964272,4.365355617,0.004321374
0.041392685,53,4,0.451786436,1.155336037,1.405858399,3.572438253,1.756483964
0,45,5,0.336459734,1.103803721,1.413634997,3.446526294,1.85388065
0,55,4,0.336459734,1.103803721,1.411619706,3.053308981,1.764922985
0,41,2,0.579783597,1.11058971,1.418135498,4.017275474,1.751817788
0,79,5,0.658011397,1.1430148,1.431846046,3.764838655,1.971971276
0,60,5,1.163757524,1.11058971,1.430880946,3.886167422,1.672282625
0,66,3,0.56937391,1.11058971,1.42553422,3.462727338,1.741781696
0.068185862,51,4,0.390935107,1.190331698,1.447468131,3.632659713,1.82445127
0,56,8,0.432969291,1.176091259,1.445292769,3.022234483,1.869994
0,57,5,0.553883027,1.193124598,1.450710878,3.815130607,1.68547302
0,50,2,0.324282455,0.995635195,1.420615771,2.697752274,1.837209528
0,109,4,0.309630167,0.939519253,1.414304688,2.674980486,1.820070034
0,56,8,0.26245109,0.903089987,1.4448252,4.60539696,1.536558443
0,51,5,0.396199347,1.161368002,1.45377686,4.282698227,1.702947246
0,83,4,0.371067862,1.149219113,1.451939869,4.553267178,1.394451681
