PC1,PC2,PC3
-0.736219398,0.925302816,1.13425574
-0.612297418,0.034615941,-1.57750002
-0.583976357,0.842067773,1.009471714
0.818835517,0.181939455,-0.187987817
2.003631124,-0.420009253,-0.233583703
-0.314282098,-0.695093274,-0.403626979
-0.532820343,-0.59579022,0.462657172
0.274672957,0.457198034,1.628008025
0.32942091,0.342158682,0.654925443
-2.013900856,0.950850994,0.496326117
-1.181092412,1.309137299,0.637367276
1.392746434,1.837281986,1.60448013
0.708476578,-0.493000167,0.080138331
-0.923120236,-0.379910152,1.021908586
0.149569056,1.111883093,1.777668898
-1.057232799,0.3720977,0.550494208
0.584751925,0.770109543,-0.161847306
-0.730086276,-1.08358217,-0.440012849
1.012165955,0.127612233,0.090373667
-0.129971812,-0.606245199,0.50855641
0.115347628,-1.607742939,-0.682733832
-0.164435695,0.331712491,0.158466315
-0.153135446,-0.251663817,0.275577919
0.252494347,0.266520624,0.855124432
0.936812498,-1.535221247,0.982724851
0.61119515,-1.029708323,0.672007647
-0.733584681,-1.449688669,-0.484569186
-0.380961056,0.282393735,-0.711798701
-0.784065883,-1.851320144,-0.472822678
-0.863531943,0.025471577,0.981267998
-0.293853733,-0.17688129,0.519611249
-0.869491621,-0.220881719,1.308373368
-2.323428463,-0.149178198,-1.742405774
-2.298792091,0.095477847,-1.215774828
-2.790879135,-0.321434968,0.408806864
-0.132955247,0.228932174,0.761627585
0.511117797,0.509138962,1.274060159
-1.586033436,-2.31430292,0.262332276
-0.6500943,-2.477503026,0.64864215
-0.693033064,-0.413530062,0.775251266
-0.307901435,0.480481547,-0.966655189
0.549600731,0.492775652,-0.722405366
3.873871914,0.558168038,-0.619567505
0.429836685,-0.399957148,-1.408969142
0.606024117,-0.336749505,-0.89144977
2.423387469,-0.435192138,-1.173778046
-1.125863902,-2.05126217,0.53825923
1.720202907,0.463109389,-0.284441147
0.939150753,0.316254641,-0.280166114
0.617076702,-0.106292148,-2.927850195
-0.433772966,0.322248009,-3.108871513
-0.418978694,0.16174871,1.146775928
2.60818897,-2.344676495,2.030267379
-1.067814925,-0.81524317,0.338376123
-1.519780611,0.027117343,0.316986008
-1.777949688,0.098929603,0.530968051
-1.139701989,-0.05805777,-0.231134932
-0.251542797,0.966394513,-0.128654695
0.052800838,0.670178386,-2.385986913
-0.987037672,0.638020608,0.056264845
-0.174116035,-0.217806136,-0.05818137
-0.330269535,0.640988241,-0.77597974
0.424607778,0.649585017,-0.60920955
-2.92098747,0.893341461,0.492488406
-2.249001562,2.422028798,2.256984659
-0.042750379,2.694434791,1.336296545
0.532767423,0.904204094,0.083046546
1.354362276,1.586657318,1.4448414
-0.060992302,1.131391696,-0.213850353
1.072052371,-0.861403157,-0.076204693
-0.157242312,0.015973458,-0.020303893
-0.465234654,0.291667829,-0.730781136
0.069335612,0.671540593,-0.828421894
0.385769344,-0.904505304,0.03878321
-1.308725242,1.496122901,1.042772545
-1.794700204,1.110359783,0.60396572
-0.024948359,1.587218925,0.445996418
-1.118703586,0.57139003,0.375509897
1.060150272,0.800148882,0.16772157
0.406646096,0.191042107,0.997725622
-0.427712897,-1.129451829,-0.206078473
0.828049998,-0.938780801,0.248133453
0.296806703,-2.625424669,1.51311358
0.806958043,0.901949147,-1.617606198
0.81446204,-0.394798053,-1.201856768
0.679836515,-0.120957413,-1.7123112
2.726738688,-3.080596801,1.458089744
0.382092841,0.185601061,1.34562599
-0.27773322,-3.231122846,0.886684931
0.305016379,1.301715762,0.220712293
0.165590853,-1.51976922,-0.103968729
3.742051868,-0.144411747,1.831295444
1.010935496,0.759886578,1.077171585
-0.791176423,-0.200887429,-0.897349447
-0.604592706,0.541176403,1.209240786
-1.077187223,1.823298382,-1.005289762
-1.035383154,1.624854951,-2.294011636
1.806753849,2.585188872,-1.583991911
-0.329319087,0.482369127,-1.003596928
-0.353007698,0.305499569,-0.633335614
0.035630453,0.911765081,0.151686668
-1.389780671,-0.557315267,0.329392433
1.271058708,0.547213125,0.213590258
1.41811007,0.295425771,0.222944708
4.546025206,2.207542097,-0.936280904
3.70118636,0.525537851,0.146533185
